id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;instructionsUndersto;randomQuestions[Q1];randomQuestions[Q2];randomQuestions[Q3];randomQuestions[Q4];randomQuestions[Q5];randomQuestions[Q6];randomQuestions[Q7];randomQuestions[Q8];randomQuestions[Q9];randomQuestions[Q10];randomQuestions[Q11];randomQuestions[Q12];randomQuestions[Q13];randomQuestions[Q14];randomQuestions[Q15];randomQuestions[Q16];randomQuestions[Q17];randomQuestions[Q18];randomQuestions[Q19];randomQuestions[Q20];QDD1;assignNumbers;QDD2;QDD3;AllQuestionsS1[F1];AllQuestionsS1[F11];AllQuestionsS1[F12];AllQuestionsS1[F2];AllQuestionsS1[F21];AllQuestionsS1[F22];AllQuestionsS1[F23];AllQuestionsS1[F24];AllQuestionsS1[F3];AllQuestionsS1[F31];AllQuestionsS1[F32];AllQuestionsS1[F41];AllQuestionsS1[F42];AllQuestionsS1[N1];AllQuestionsS1[N2];AllQuestionsS1[N3];AllQuestionsS1[N4];AllQuestionsS2[F1];AllQuestionsS2[F11];AllQuestionsS2[F12];AllQuestionsS2[F2];AllQuestionsS2[F21];AllQuestionsS2[F22];AllQuestionsS2[F23];AllQuestionsS2[F24];AllQuestionsS2[F3];AllQuestionsS2[F31];AllQuestionsS2[F32];AllQuestionsS2[F41];AllQuestionsS2[F42];AllQuestionsS2[N1];AllQuestionsS2[N2];AllQuestionsS2[N3];AllQuestionsS2[N4];AllQuestionsS3[F1];AllQuestionsS3[F11];AllQuestionsS3[F12];AllQuestionsS3[F2];AllQuestionsS3[F21];AllQuestionsS3[F22];AllQuestionsS3[F23];AllQuestionsS3[F24];AllQuestionsS3[F3];AllQuestionsS3[F31];AllQuestionsS3[F32];AllQuestionsS3[F41];AllQuestionsS3[F42];AllQuestionsS3[N1];AllQuestionsS3[N2];AllQuestionsS3[N3];AllQuestionsS3[N4];AllQuestionsS4[F1];AllQuestionsS4[F11];AllQuestionsS4[F12];AllQuestionsS4[F2];AllQuestionsS4[F21];AllQuestionsS4[F22];AllQuestionsS4[F23];AllQuestionsS4[F24];AllQuestionsS4[F3];AllQuestionsS4[F31];AllQuestionsS4[F32];AllQuestionsS4[F41];AllQuestionsS4[F42];AllQuestionsS4[N1];AllQuestionsS4[N2];AllQuestionsS4[N3];AllQuestionsS4[N4];herdSize[decr];herdSize[main];herdSize[incr];statusQuo;QAttentionCheck[env];QAttentionCheck[market];QAttentionCheck[tax];QAttentionCheck[health];interviewtime;groupTime617;instructionsUnderstoTime;ProlificIDTime;randomQuestionsTime;groupTime615;QDD1Time;assignNumbersTime;groupTime618;QDD2Time;groupTime619;QDD3Time;groupTime621;AllQuestionsS1Time;groupTime620;AllQuestionsS2Time;groupTime622;AllQuestionsS3Time;groupTime616;AllQuestionsS4Time;groupTime624;herdSizeTime;statusQuoTime;groupTime623;QAttentionCheckTime
179;24/01/2025 09:21;10;en;789110970;24/01/2025 09:14;24/01/2025 09:21;;2;4;1;2;3;1;1;4;2;3;1;3;1;4;4;1;3;4;4;1;read;2  4  1  2  3  1  1  4  2  3  1  3  1  4  4  1  3  4  4  1;read;read;;;AO05;;;AO01;AO01;;;;AO05;AO01;;;AO01;;;AO05;;;AO04;;;;;AO05;;;;;;;;;;;;;AO03;;;;;AO05;;;;;;AO01;;;AO05;;;;;;AO05;;;;;AO01;AO01;;;AO01;AO01;AO05;AO01;AO05;;;;Y;395.12;20.51;;;;100.35;;;88.65;;75.22;;34.42;;11.39;;16.02;;19.48;;20.19;;;8.89;
180;24/01/2025 09:22;10;en;856007642;24/01/2025 09:14;24/01/2025 09:22;Y;3;4;1;2;3;4;3;4;4;1;3;3;1;4;3;4;4;1;2;3;read;3  4  1  2  3  4  3  4  4  1  3  3  1  4  3  4  4  1  2  3;read;read;;;AO05;;;;;;;AO04;;AO03;;;;;AO02;;;;AO02;;;;;;;;;;;;;;AO04;;;;AO02;;AO02;;;;AO04;;;AO03;;;;;AO04;;;;AO02;;AO03;AO03;;;;AO05;;AO03;AO02;;AO02;AO03;AO04;AO03;Y;Y;;Y;457.07;17.4;;;;96.64;;;133.62;;63.9;;29.7;;10.28;;22.1;;41.22;;26.14;;;16.07;
181;24/01/2025 09:19;10;en;22024171;24/01/2025 09:14;24/01/2025 09:19;Y;4;4;2;3;2;1;4;2;1;2;1;2;1;4;1;4;3;2;3;1;read;4  4  2  3  2  1  4  2  1  2  1  2  1  4  1  4  3  2  3  1;read;read;;;;;;AO02;;;AO04;;AO03;AO03;;AO03;;;;;;AO02;;AO04;;;AO03;;AO04;;;;;;;AO04;;;;AO03;;;;;;;;;;;;AO04;;AO02;AO03;;;;;AO03;;;;;;AO03;;AO02;;;AO03;AO04;AO03;AO03;Y;Y;;;277.89;6.69;;;;10.49;;;68.07;;58.98;;25.25;;19.74;;10.61;;25.97;;34.89;;;17.2;
182;24/01/2025 09:20;10;en;512758315;24/01/2025 09:14;24/01/2025 09:20;Y;3;1;1;1;1;4;1;2;2;2;1;4;1;1;3;3;4;2;2;1;read;3  1  1  1  1  4  1  2  2  2  1  4  1  1  3  3  4  2  2  1;read;read;;AO05;AO05;AO05;AO05;;AO04;;;;AO05;AO03;AO04;;;;;;;;;;;;AO05;AO05;AO05;;;;;;;AO04;AO05;;;;;;;;;;;;;AO03;AO03;;;;;;;;AO05;;;;;;;;;;AO05;;AO01;AO01;AO01;AO05;Y;;;Y;377.03;12.39;;;;82.27;;;93.27;;59.85;;40.26;;20.29;;18.5;;10.4;;18.34;;;21.46;
183;24/01/2025 09:20;10;en;1739923582;24/01/2025 09:14;24/01/2025 09:20;Y;3;3;4;1;2;3;1;4;3;1;4;4;3;4;2;2;1;1;4;3;read;3  3  4  1  2  3  1  4  3  1  4  4  3  4  2  2  1  1  4  3;read;read;;;;AO03;;;AO04;;;AO04;;;;;;AO05;AO03;;;;;AO04;;;;;;;;;AO03;AO03;;;AO04;AO04;;;;AO04;;;AO05;;;AO04;;;;;;;;AO05;;;;;AO04;;;AO05;;AO04;;;;;AO03;AO04;AO02;AO05;Y;;;Y;379.72;19.19;;;;63.21;;;90.68;;41.65;;38.38;;28.46;;31;;20.3;;31.05;;;15.8;
184;24/01/2025 09:22;10;en;742419066;24/01/2025 09:14;24/01/2025 09:22;Y;4;4;4;1;2;1;1;4;2;4;2;2;4;2;2;3;1;4;3;3;read;4  4  4  1  2  1  1  4  2  4  2  2  4  2  2  3  1  4  3  3;read;read;;;;AO02;;AO02;AO03;;;;;;;;;AO03;;;;;;AO04;;;;AO03;;AO04;;AO03;AO04;;;;;;;;;;;;;;;;;;AO04;;;AO03;AO03;AO04;;;;;AO04;;AO03;;AO03;;;;;AO04;AO04;AO03;AO02;AO03;Y;;;Y;490.56;85.95;;;;89.23;;;23.77;;91.75;;35.71;;117.06;;3.84;;19.48;;14.87;;;8.9;
185;24/01/2025 09:25;10;en;302394036;24/01/2025 09:14;24/01/2025 09:25;Y;2;1;3;3;2;1;3;2;4;4;4;2;1;2;2;3;1;2;1;1;read;2  1  3  3  2  1  3  2  4  4  4  2  1  2  2  3  1  2  1  1;read;read;;AO05;;;;AO05;;;;;;AO04;;;;AO01;;AO02;;;;AO04;;;AO04;;;;;AO04;AO04;;;AO04;;;AO03;AO04;;;AO04;;;;;;;;AO01;;;;;;;;;;;AO01;AO04;AO04;;;;;;;AO02;AO02;AO04;AO04;Y;Y;;Y;636.75;26.04;;;;152.05;;;111.68;;130.7;;28.22;;53.98;;63.16;;22.28;;29.79;;;18.85;
187;24/01/2025 09:21;10;en;1141581734;24/01/2025 09:14;24/01/2025 09:21;Y;1;1;1;1;3;2;1;2;4;1;2;2;2;3;2;2;3;2;2;4;read;1  1  1  1  3  2  1  2  4  1  2  2  2  3  2  2  3  2  2  4;read;read;AO01;AO05;AO01;AO04;;;AO03;;;AO05;;;;;;;;;;;;;AO05;;AO05;;;AO05;AO03;;AO05;AO01;;AO01;;;;;AO05;;;;;;;;AO01;;;AO01;;;;;;;;;;AO01;;;;;;;;;AO01;AO01;AO03;AO04;Y;Y;;;426.53;9.7;;;;79.11;;;90.45;;58.3;;50.77;;51.04;;22.26;;7.18;;46.78;;;10.94;
188;24/01/2025 09:21;10;en;1261714267;24/01/2025 09:14;24/01/2025 09:21;Y;4;2;3;4;2;1;1;2;3;1;2;1;1;2;1;3;4;2;4;4;read;4  2  3  4  2  1  1  2  3  1  2  1  1  2  1  3  4  2  4  4;read;read;;;;;;AO04;AO03;;;AO04;;AO03;;AO04;;;;;AO03;;;AO03;;;AO03;;;AO04;;AO03;;;;AO03;;;AO03;;;;;;AO04;;;;;;AO03;;;AO03;;;AO03;;;;;;;;;;;;AO03;;AO03;AO03;AO03;AO03;Y;Y;Y;Y;402.21;4.95;;;;20.46;;;259.4;;13.1;;19.83;;15.77;;23.62;;11.57;;20.09;;;13.42;
189;24/01/2025 09:20;10;en;507868130;24/01/2025 09:15;24/01/2025 09:20;Y;3;1;1;3;2;2;1;2;4;1;2;1;4;1;3;1;3;2;4;1;read;3  1  1  3  2  2  1  2  4  1  2  1  4  1  3  1  3  2  4  1;read;read;;AO04;AO05;;;;AO03;;;AO05;;;AO03;;AO02;;;;;;;AO04;AO03;;AO05;;;AO05;;;;;;AO03;AO04;;;AO04;;;;;;;;;;AO03;;AO02;;;;;;;;;;AO05;;;AO04;;;;;;AO02;AO02;AO02;AO02;Y;Y;;Y;330.2;15.68;;;;64.13;;;48.07;;41.8;;28.82;;20.24;;24.12;;25.11;;31.15;;;31.08;
190;24/01/2025 09:21;10;en;1838370426;24/01/2025 09:15;24/01/2025 09:21;Y;4;4;1;2;4;1;1;1;1;1;1;2;3;3;3;4;2;2;1;4;read;4  4  1  2  4  1  1  1  1  1  1  2  3  3  3  4  2  2  1  4;read;read;;;AO02;;;AO02;AO02;AO04;AO03;AO04;AO04;;;;;;;;;;AO03;;;;;;;;;;;;AO02;AO03;;;;;;;;;;;;AO04;AO03;AO04;;;;AO02;AO03;;;AO02;;;;;;;;;;AO02;;;AO02;AO04;AO03;AO04;Y;;;Y;374.55;15.39;;;;75.28;;;58.31;;33.79;;28;;26.48;;22.4;;70.73;;29.29;;;14.88;
192;24/01/2025 09:20;10;en;2086890917;24/01/2025 09:15;24/01/2025 09:20;;3;2;4;4;1;4;3;4;1;4;1;4;1;3;2;4;2;4;4;2;read;3  2  4  4  1  4  3  4  1  4  1  4  1  3  2  4  2  4  4  2;read;read;;;;;AO05;;;;AO05;;AO05;AO03;;;;;;;AO05;;;;;;;;;;;;AO02;;AO01;;AO05;;;;;;AO03;;;;;;AO01;;;;;;;AO05;AO03;;AO05;;AO05;;AO04;;;;;AO01;;AO02;AO01;AO01;AO01;AO04;Y;;;Y;332.56;5.02;;;;65.61;;;89.15;;46.92;;21.09;;23.19;;19.73;;26.77;;23.98;;;11.1;
193;24/01/2025 09:18;10;en;1572180257;24/01/2025 09:15;24/01/2025 09:18;Y;2;2;3;3;1;4;2;3;2;2;4;1;1;1;2;3;3;2;1;1;read;2  2  3  3  1  4  2  3  2  2  4  1  1  1  2  3  3  2  1  1;read;read;;;;;AO04;;;;;;;AO03;AO03;;;;;AO02;AO02;;;;;AO02;;AO05;AO04;;;;AO03;;;AO01;;;AO03;AO03;;;;AO05;;;;;;;AO03;AO03;;;;;;;AO04;;;;;AO05;;;;;;;AO03;AO03;AO03;AO04;Y;Y;;;174.03;10.92;;;;23.89;;;15.87;;13.68;;24.46;;27.95;;19.65;;10;;14.22;;;13.39;
194;24/01/2025 09:22;10;en;745536359;24/01/2025 09:15;24/01/2025 09:22;Y;4;4;3;4;2;3;4;1;4;1;2;4;4;2;4;2;2;4;4;1;read;4  4  3  4  2  3  4  1  4  1  2  4  4  2  4  2  2  4  4  1;read;read;;;;;;;;AO05;;AO05;;;;;;;;;;;;AO05;;;;;;AO04;;AO05;;AO01;AO01;;;;AO05;;;AO05;;;;;;;;;;;;AO05;AO05;;AO04;;;AO04;;AO05;;;AO05;;AO01;;;AO03;AO01;AO04;AO05;AO05;Y;Y;;Y;383.48;11.43;;;;82.25;;;92.92;;62.99;;9.27;;23.06;;6.42;;61.83;;21.91;;;11.4;
195;24/01/2025 09:48;10;en;1004062171;24/01/2025 09:15;24/01/2025 09:48;Y;3;3;1;1;2;4;2;2;1;2;1;2;2;4;1;2;1;2;4;1;read;3  3  1  1  2  4  2  2  1  2  1  2  2  4  1  2  1  2  4  1;read;read;;;AO05;AO05;;;;;AO05;;AO05;;;AO02;;AO01;;;;;;AO04;;AO04;AO04;;AO04;;AO04;;;AO01;;AO02;AO04;AO05;;;;;;;;;;;;;;;;;;;;;AO04;;;;;;;AO04;;;;;AO01;AO04;AO03;AO04;Y;;;Y;1580.37;225.71;;;;148.16;;;14.97;;18.55;;475.63;;61.61;;271.05;;169.93;;73.16;;;121.6;
196;24/01/2025 09:27;10;en;1125560119;24/01/2025 09:15;24/01/2025 09:27;Y;3;1;1;3;4;1;2;4;2;2;4;3;4;4;4;2;2;4;2;2;read;3  1  1  3  4  1  2  4  2  2  4  3  4  4  4  2  2  4  2  2;read;read;;AO04;AO05;;;AO03;;;;;;;;;;;;;;;;;;AO04;;AO05;AO05;;;;;AO03;AO03;;AO05;;;AO04;;;;;;;;;;;;;;;;;;AO04;;;AO05;;;AO05;AO05;AO04;AO01;;;AO01;AO01;AO05;AO03;AO04;Y;Y;;Y;714.76;33.68;;;;113.09;;;82.78;;38.47;;49;;21.69;;148.2;;192.97;;20.15;;;14.73;
197;24/01/2025 09:20;10;en;718726935;24/01/2025 09:15;24/01/2025 09:20;Y;1;2;3;1;2;2;4;2;1;1;3;1;1;2;2;1;3;2;3;3;read;1  2  3  1  2  2  4  2  1  1  3  1  1  2  2  1  3  2  3  3;read;read;AO03;;;AO02;;;;;AO04;AO04;;AO04;;;AO03;;;;AO05;;;AO02;AO02;;AO05;;;;;AO03;AO04;;;AO04;;;AO04;;;;;;;;AO05;;;;;AO03;;;;;;;;AO02;;;;;;;;;;;AO02;AO03;AO03;AO03;Y;Y;;Y;273.55;30.33;;;;46.98;;;11.69;;26.75;;31.89;;42.9;;15.19;;25.18;;19.66;;;22.98;
198;24/01/2025 09:24;10;en;1760213264;24/01/2025 09:16;24/01/2025 09:24;;3;1;4;4;4;1;1;2;3;3;1;3;4;3;1;4;4;3;1;3;read;3  1  4  4  4  1  1  2  3  3  1  3  4  3  1  4  4  3  1  3;read;read;;AO03;;;;AO02;AO03;;;;AO05;;;AO05;;;;;;;;;;;AO04;;;;;;;;;;AO03;;;;;;;;AO04;AO04;;;AO03;;;;AO02;;;AO04;AO02;AO02;;;;;;;AO04;;;AO04;AO02;;AO03;AO03;AO03;AO02;Y;;;Y;526.45;22.77;;;;119.2;;;111.17;;54.92;;36.12;;12.46;;49;;81.77;;24.5;;;14.54;
203;24/01/2025 09:30;10;en;441890277;24/01/2025 09:16;24/01/2025 09:30;Y;3;4;1;4;3;3;3;4;3;1;3;1;2;3;4;3;3;1;1;1;read;3  4  1  4  3  3  3  4  3  1  3  1  2  3  4  3  3  1  1  1;read;read;;;AO05;;;;;;;AO05;;;;;;;AO04;;;;;;;;;;;;AO04;;;;;;AO04;;;;AO04;AO05;AO04;;AO05;;AO05;;AO05;;AO03;AO02;;;AO05;;AO03;;;;AO05;;;;;;AO04;;;;AO02;AO04;AO02;AO04;Y;;;Y;866.47;23.5;;;;113.02;;;68.44;;45.42;;62.11;;23.4;;284.95;;90.74;;98.04;;;56.85;
204;24/01/2025 09:25;10;en;927429159;24/01/2025 09:16;24/01/2025 09:25;Y;3;2;4;4;3;4;2;4;3;3;3;3;2;4;2;2;3;1;4;4;read;3  2  4  4  3  4  2  4  3  3  3  3  2  4  2  2  3  1  4  4;read;read;;;;;;;;;;;;;;;;;AO02;;AO04;;;;;AO02;;;;;AO01;;AO02;AO03;;;AO05;;;;AO02;;;;AO04;AO03;AO05;;;;;AO02;;;;AO05;AO02;;AO02;;AO03;;;;;AO03;;;;;AO02;AO01;AO03;AO01;Y;Y;;Y;573.7;24.59;;;;117.52;;;141.35;;68.39;;20.93;;35.73;;55.84;;34.51;;57.94;;;16.9;
205;24/01/2025 09:24;10;en;1424422484;24/01/2025 09:16;24/01/2025 09:24;Y;4;4;4;1;2;4;4;4;3;4;3;4;4;1;1;1;4;3;2;2;read;4  4  4  1  2  4  4  4  3  4  3  4  4  1  1  1  4  3  2  2;read;read;;;;AO04;;;;;;;;;AO02;AO02;AO01;;;;;;;AO03;;;;;;;;;;;;;;;;;;;;;AO03;;AO03;;;;;;AO01;AO04;AO04;AO03;;;AO03;AO04;AO03;;AO04;;AO04;;;;AO01;;AO01;AO03;AO03;AO04;Y;;;Y;462.87;15.53;;;;109.34;;;100.36;;76.4;;35.36;;6.25;;19.04;;53.56;;28.46;;;18.57;
207;24/01/2025 09:30;10;en;477211597;24/01/2025 09:16;24/01/2025 09:30;Y;4;4;1;2;3;1;4;4;3;3;2;4;4;4;2;4;2;3;2;1;read;4  4  1  2  3  1  4  4  3  3  2  4  4  4  2  4  2  3  2  1;read;read;;;AO05;;;AO05;;;;;;;;;;;;;;;AO04;;;;;;;AO05;;;AO02;;AO05;;;;;;AO05;;;;AO05;AO04;;;;;;;AO03;AO02;AO04;;;;;AO02;AO05;;;;AO03;AO03;;AO05;;;AO03;AO03;AO03;AO05;Y;Y;;Y;825.82;35.33;;;;147.91;;;176.09;;125.26;;30.61;;59.35;;43.6;;119.24;;59.08;;;29.35;
208;24/01/2025 09:24;10;en;190808641;24/01/2025 09:16;24/01/2025 09:24;;1;4;3;3;1;2;3;3;1;1;4;1;1;4;4;4;1;3;3;1;read;1  4  3  3  1  2  3  3  1  1  4  1  1  4  4  4  1  3  3  1;read;read;AO05;;;;AO04;;;;AO04;AO03;;AO04;;;;AO01;;;;;;;AO04;;;;;;;;;;;;;;AO05;AO04;;;AO04;AO04;;;;;;;;;AO01;;AO05;;;;;;;;;AO05;;AO03;AO03;AO01;;;AO01;AO01;AO01;AO04;Y;Y;;Y;430.43;1.77;;;;83.63;;;127.41;;85.27;;24.68;;7.6;;41.03;;24.4;;19.09;;;15.55;
209;24/01/2025 09:21;10;en;1043781355;24/01/2025 09:16;24/01/2025 09:21;Y;3;1;2;1;2;2;4;4;4;2;2;3;4;4;4;1;2;4;3;3;read;3  1  2  1  2  2  4  4  4  2  2  3  4  4  4  1  2  4  3  3;read;read;;AO03;;AO02;;;;;;;;;;;AO04;;;;;AO03;;AO04;AO04;;;;AO05;AO05;;;;;AO03;;AO02;;;;;;;;;;;;;;;;;;;;;;;AO04;AO04;AO05;;;AO04;AO03;AO04;;;AO04;AO03;AO04;AO02;AO03;Y;Y;;Y;262.6;4.22;;;;55.73;;;33.83;;29.83;;19.58;;26.12;;11.68;;38.83;;26.4;;;16.38;
210;24/01/2025 09:22;10;en;102984370;24/01/2025 09:16;24/01/2025 09:22;Y;2;2;1;2;4;2;2;4;1;4;4;4;2;3;3;3;1;3;4;3;read;2  2  1  2  4  2  2  4  1  4  4  4  2  3  3  3  1  3  4  3;read;read;;;AO04;;;;;;AO02;;;;;;;AO02;;AO04;AO04;;AO02;;AO04;AO02;;;;;AO01;;;;;;;;;;;;;;;;;;AO04;AO02;AO01;;AO02;;;;;AO04;;;AO05;;AO04;AO04;;;;;;;AO01;AO04;AO05;AO04;Y;Y;;Y;354.84;6.69;;;;67.59;;;74.58;;41.2;;16.27;;42.9;;34.27;;26.11;;24.96;;;20.27;
215;24/01/2025 09:23;10;en;1426435910;24/01/2025 09:16;24/01/2025 09:23;Y;4;4;1;3;3;2;1;4;2;2;4;4;3;3;3;2;4;4;2;1;read;4  4  1  3  3  2  1  4  2  2  4  4  3  3  3  2  4  4  2  1;read;read;;;AO05;;;;AO03;;;;;;;;;;;;;;;;AO02;;;AO05;AO04;;;;;AO04;;;;;;AO04;AO03;;;;;;;AO03;AO04;AO03;;;;AO05;AO05;;;;;;AO05;;;AO05;;;;;AO02;AO02;AO03;AO04;AO04;AO04;Y;;;Y;415.32;20.3;;;;82.31;;;86.69;;49.18;;13.75;;43.33;;43.28;;30.74;;29.09;;;16.65;
216;24/01/2025 09:29;10;en;188169121;24/01/2025 09:16;24/01/2025 09:29;Y;4;2;4;4;2;2;3;2;2;3;2;4;4;2;2;2;4;3;1;3;read;4  2  4  4  2  2  3  2  2  3  2  4  4  2  2  2  4  3  1  3;read;read;;;;;;;;;;;;;;;;;;;AO03;;;AO03;AO04;;AO04;AO04;;AO05;;AO02;AO03;AO03;;;;;;;;;AO02;;;AO04;;;;;;;AO01;AO01;;AO02;AO04;;;;;;;;AO05;;;;AO04;;AO01;AO03;AO01;AO03;Y;;;Y;715.08;42.5;;;;172.53;;;131.7;;132.02;;10.93;;73.83;;30.87;;53.71;;38.13;;;28.86;
217;24/01/2025 09:21;10;en;260645659;24/01/2025 09:16;24/01/2025 09:21;Y;3;3;4;1;2;1;4;1;2;4;3;4;1;2;4;3;1;3;2;4;read;3  3  4  1  2  1  4  1  2  4  3  4  1  2  4  3  1  3  2  4;read;read;;;;AO02;;AO03;;AO04;;;;AO04;;;;AO03;;;;;;AO03;;;;AO03;;;;AO02;;;;;AO02;AO02;;;;;;;;;AO03;;;;AO04;;AO04;;;AO01;;;;AO04;;;AO03;;;;AO04;;;;AO04;AO03;AO02;AO02;Y;Y;;Y;250.78;4.04;;;;37.01;;;35.51;;34.34;;30.31;;15.61;;23.68;;37.93;;21.14;;;11.21;
218;24/01/2025 09:23;10;en;299047925;24/01/2025 09:17;24/01/2025 09:23;Y;2;2;1;4;3;4;1;2;1;3;3;1;2;4;2;2;1;1;2;1;read;2  2  1  4  3  4  1  2  1  3  3  1  2  4  2  2  1  1  2  1;read;read;;;AO05;;;;AO03;;AO04;;;;;;;AO02;AO02;AO04;AO04;;;;;;AO04;;;;AO05;;AO02;AO02;;;;;;;AO04;;;;;AO05;AO04;;;;;;;;;;AO04;;AO04;;;;;;;AO05;;;;;AO02;AO03;AO03;AO04;Y;;;Y;362.74;17.44;;;;83.54;;;88.74;;35.9;;26.34;;36;;12.17;;19.83;;26.22;;;16.56;
222;24/01/2025 09:27;10;en;1096591754;24/01/2025 09:17;24/01/2025 09:27;Y;4;1;1;2;2;3;2;4;1;3;4;2;3;2;3;2;3;1;4;1;read;4  1  1  2  2  3  2  4  1  3  4  2  3  2  3  2  3  1  4  1;read;read;;AO03;AO05;;;;;;AO05;;;;;;;;AO01;;;;AO04;AO05;;AO01;;;;;;AO03;;AO01;;;;;;;;AO05;;;;AO05;;AO03;;AO03;;AO03;;AO05;;;;;;;AO03;;;AO05;;;;;;;AO01;AO05;AO03;AO05;Y;Y;;Y;612.19;19.76;;;;125.81;;;111.53;;64.57;;44.14;;88.07;;71.99;;21.67;;38.6;;;26.05;
224;24/01/2025 09:26;10;en;172983719;24/01/2025 09:17;24/01/2025 09:26;Y;2;3;3;4;3;4;3;1;3;3;3;4;2;1;1;3;3;3;4;3;read;2  3  3  4  3  4  3  1  3  3  3  4  2  1  1  3  3  3  4  3;read;read;;;;;;;;AO01;;;;;AO01;AO05;;;;AO05;;;;;;;;;;;AO05;;;;;;;AO05;AO05;;AO05;;AO05;;AO05;AO01;AO05;;;;AO05;AO01;AO05;;;;AO05;;AO05;;;;;;;;;;;;AO01;AO05;AO05;AO05;;Y;;;517.73;2.83;;;;38.39;;;276.43;;6.35;;7.38;;10.41;;76.28;;47.78;;25.36;;;26.52;
226;24/01/2025 09:22;10;en;1329077746;24/01/2025 09:17;24/01/2025 09:22;Y;1;2;3;2;2;4;4;4;3;3;1;4;3;4;1;2;3;3;2;1;read;1  2  3  2  2  4  4  4  3  3  1  4  3  4  1  2  3  3  2  1;read;read;AO02;;;;;;;;;;AO05;;;AO05;;;;;AO04;;AO03;AO05;;;;;;;;;;AO03;;;;;AO04;;;;;;AO04;AO04;;AO04;;;;AO04;AO04;;;;;;AO04;AO03;AO04;;;;;AO04;;;;;AO03;AO04;AO03;AO04;Y;;;Y;275.88;12.59;;;;52.16;;;69.63;;33.13;;10.81;;21.41;;22.18;;26.54;;15.32;;;12.11;
227;24/01/2025 09:23;10;en;476130027;24/01/2025 09:17;24/01/2025 09:23;Y;4;1;2;3;2;4;2;4;3;4;4;1;4;4;3;3;4;1;3;1;read;4  1  2  3  2  4  2  4  3  4  4  1  4  4  3  3  4  1  3  1;read;read;;AO04;;;;;;;;;;;;;;;AO01;;;AO04;;AO04;;AO03;;;;;;;;;;;;;;AO01;;;;;AO05;;;;;AO02;AO02;;;AO04;;;;;AO03;;AO04;;AO05;AO05;AO03;AO02;;;AO03;;AO03;AO03;AO03;AO05;Y;Y;;Y;333.68;19.23;;;;65.49;;;58.68;;46.89;;12.73;;18.38;;35.24;;37.64;;18.99;;;20.41;
228;24/01/2025 09:22;10;en;487050910;24/01/2025 09:17;24/01/2025 09:22;Y;1;2;2;3;2;4;2;3;1;2;2;2;1;2;2;2;3;2;3;3;read;1  2  2  3  2  4  2  3  1  2  2  2  1  2  2  2  3  2  3  3;read;read;AO04;;;;;;;;AO03;;;AO03;;;;;;;AO04;AO05;;AO05;;AO04;;;AO04;AO05;;AO04;AO03;AO03;;AO02;;;;AO02;;;;AO04;;;;;;;;AO01;;;;;;;AO04;;;;;;;;;;;;AO01;AO03;AO04;AO04;Y;;;Y;279.49;7.84;;;;46.31;;;107.35;;22.89;;9.45;;38.91;;13.23;;5.78;;16.01;;;11.72;
229;24/01/2025 09:24;10;en;466727729;24/01/2025 09:18;24/01/2025 09:24;Y;4;3;4;2;4;3;3;2;3;3;1;3;4;4;2;4;3;1;4;2;read;4  3  4  2  4  3  3  2  3  3  1  3  4  4  2  4  3  1  4  2;read;read;;;;;;;;;;;AO05;;;;;;AO01;;;;AO04;;;;AO05;;;;;;AO05;;;;;AO05;;;;AO05;AO01;;AO05;AO05;;;;;;AO01;;AO05;;AO05;;AO05;;;;;;;AO05;AO01;;AO01;;;AO01;AO04;AO04;AO05;Y;;;;373.27;17.34;;;;78.71;;;83.19;;53.68;;9.89;;24.51;;39.61;;32.32;;25.1;;;8.92;
230;24/01/2025 09:33;10;en;1118204706;24/01/2025 09:18;24/01/2025 09:33;Y;2;2;2;2;1;4;3;4;4;1;2;4;1;4;2;3;1;1;1;2;read;2  2  2  2  1  4  3  4  4  1  2  4  1  4  2  3  1  1  1  2;read;read;;;;;AO03;;;;;AO05;;AO04;;;;AO02;AO03;AO03;AO04;AO05;AO03;;;;;;;AO05;;;AO03;;;;;;;;;;AO04;;;;;;;;AO02;;;;;;;;AO04;;AO04;AO05;;;;AO03;;;;;AO02;AO04;AO02;AO03;Y;;;Y;927.27;18.17;;;;116.35;;;141.08;;72.33;;108.46;;110.83;;37.86;;213.94;;73.58;;;34.67;
231;24/01/2025 09:24;10;en;1105944582;24/01/2025 09:18;24/01/2025 09:24;Y;4;2;4;4;3;1;3;1;2;4;2;2;3;2;3;1;3;2;2;4;read;4  2  4  4  3  1  3  1  2  4  2  2  3  2  3  1  3  2  2  4;read;read;;;;;;AO05;;AO05;;;;;;;AO03;;;;AO05;;;;;;;AO05;;AO05;;AO03;;;;AO02;;;;;AO04;;AO03;;;;;AO04;;AO02;;AO01;;AO04;;AO05;AO04;;;;;;AO05;;;;;;;;AO03;AO03;AO03;AO04;Y;Y;;Y;386.52;10.12;;;;88.14;;;80.05;;48.66;;14.9;;29.37;;57.82;;18.15;;27.53;;;11.78;
